0,1,2,3
439137100020,POLYMER,Cationic scavenging by polyaniline: Boon or bane from synthesis point of view of its nanocomposites,"This work establishes the fact that Polyaniline (PANI) contributes to cationic scavenging on the polymerization of a cross linking polymer, i.e. Divinylbenzene (DVB), resulting in a significant change in the properties of the PANI-based DVB resin system. Furthermore, it is also shown that the cationic scavenging is directly related to the degree of doping of PANI and its dispersion state. Various intermediate doped PANI was added with a fixed amount of DVB to prepare thermosetting matrices. The degree of doping of PANI was assessed with the DSC, FT-IR, and UV-VIS-NIR analyses before mixing with DVB matrix. It has been shown that the Polyaniline (PANI) agglomerates broke and a uniform dispersion was obtained with an increased degree of doping, which led to more exposed amines groups of PANI. These groups acted as scavengers to the cationic polymerization of the DVB monomer. DSC and viscosity measurement of the uncured PANI-DBSA/DVB resin system confirmed the scavenging effect of PANI on the curing profile and subsequently to the electrical and mechanical properties of the cured composites. This paper presents a detailed analysis of the advantages and disadvantages of the scavenging behavior of PANI in the context of preparing PANI-based polymer composites. (C) 2018 Elsevier Ltd. All rights reserved."
432369500007,TRAINING AND EDUCATION IN PROFESSIONAL PSYCHOLOGY,Ethics in Training and Training in Ethics: Special Considerations for Postdoctoral Fellowships in Health Service Psychology,"It is of great importance to the public and the profession to ensure that emerging professionals in health service psychology are competent to recognize and skillfully navigate ethical issues encountered in professional practice, and it is incumbent upon psychology training programs to accomplish this. Although postdoctoral fellowship is the final stage of formal training and supervision for many psychologists, surprisingly little attention has been devoted to delineating best practices for ethics training at the psychology postdoctoral level. Further, unique ethical considerations arise as postdoctoral supervisors engage in training an emerging colleague on the eve of ""career launch,"" seek to foster skills in complex situations while facilitating autonomy, and often embark on training in supervision itself. This article is intended to extend the scant literature and inform training practices by discussing ethics-focused topics particularly salient to both the content and process of postdoctoral level psychology training. Primary aims include addressing (a) the state of the field and current challenges, (b) designing training in ethics commensurate with the psychology postdoctoral level, (c) ethical issues encountered when supervising and mentoring trainees at the postdoctoral level, and (d) ethical issues in supervision of supervision. Consideration is given to the purpose of postdoctoral training as development of advanced and specialty competencies, as well as differentiation of postdoctoral training from levels earlier in the training sequence. Recommendations are provided for program directors who wish to expand or enhance ethics training, supervisors engaged in training postdoctoral fellows, future research, and next steps for the field."
423588500002,FRONTIERS IN HUMAN NEUROSCIENCE,Temporal Contiguity Training Influences Behavioral and Neural Measures of Viewpoint Tolerance,"Humans can often recognize faces across viewpoints despite the large changes in lowlevel image properties a shift in viewpoint introduces. We present a behavioral and an fMRI adaptation experiment to investigate whether this viewpoint tolerance is reflected in the neural visual system and whether it can be manipulated through training. Participants saw training sequences of face images creating the appearance of a rotating head. Half of the sequences showed faces undergoing veridical changes in appearance across the rotation (non-morph condition). The other half were non-veridical: during rotation, the face simultaneously morphed into another face. This procedure should successfully associate frontal face views with side views of the same or a different identity, and, according to the temporal contiguity hypothesis, thus enhance viewpoint tolerance in the non-morph condition and/or break tolerance in the morph condition. Performance on the same/different task in the behavioral experiment (N = 20) was affected by training. There was a significant interaction between training (associated/not associated) and identity (same/different), mostly reflecting a higher confusion of different identities when they were associated during training. In the fMRI study (N = 20), fMRI adaptation effects were found for same-viewpoint images of untrained faces, but no adaptation for untrained faces was present across viewpoints. Only trained faces which were not morphed during training elicited a slight adaptation across viewpoints in face-selective regions. However, both in the behavioral and in the neural data the effects were small and weak from a statistical point of view. Overall, we conclude that the findings are not inconsistent with the proposal that temporal contiguity can influence viewpoint tolerance, with more evidence for tolerance when faces are not morphed during training."
433225600002,QUATERNARY INTERNATIONAL,Rapid switch in monsoon-wind induced surface hydrographic conditions of the eastern Arabian Sea during the last deglaciation,"Surface water hydrography in the Arabian Sea is primarily governed by the Asian monsoon wind system. Changes in the composition of fossil planktic foraminiferal assemblages and sea surface temperatures (SST) in sediment core SK17, retrieved from offshore of central India, are used to decipher past changes in sea-surface hydrographic conditions linked mainly to the winter monsoon winds. The planktic foraminiferal assemblage and the SST records indicate a rapid switch in sea-surface hydrographic conditions around 17.5 ka BP marking the end of last glacial period. The data show that intensified winter winds during 17.5-23.5 ka BP, resulted in nutrient injection into surface waters and eutrophic conditions, mainly through deep vertical mixing and/or moderate upwelling; and reduction in winter wind intensity caused stratification characterized by the high tropical SST since 17.5 ka BP. The timing of the rapid switch in seawater conditions caused by a drop in strength of winter monsoon winds is coeval with the cold climate excursion in the northern hemisphere (Heinrich Event 1), suggesting that the two areas are climatically linked."
426440700045,JOURNAL OF PEDIATRICS,Childhood Corporal Punishment and Future Perpetration of Physical Dating Violence,"Objective To test whether experiencing childhood corporal punishment is linked to later perpetration of dating violence. Study design Young adults (n = 758; 61% female; mean age of 20 years), originally recruited for a longitudinal study as 9th-and 10th-grade Texas high school students, were asked about their childhood experiences with corporal punishment and physical abuse, as well as current experiences with dating violence. A path model was used to determine whether childhood corporal punishment was related to recent perpetration of physical dating violence, while controlling for childhood physical abuse, age, sex, ethnicity, and socioeconomic status. Results In all, 19% of participants (n = 134) reported physical dating violence perpetration and 68% reported experiencing corporal punishment as children (n = 498). Analysis showed a significant positive association between corporal punishment and physical perpetration of dating violence (OR 1.30, 95% CI 1.07-1.59). Even after controlling for sex, ethnicity, age, parental education, and child physical abuse, childhood corporal punishment was associated significantly with physical dating violence perpetration (aOR 1.29, 95% CI 1.02-1.62). Conclusions The finding that childhood corporal punishment was associated with perpetration of young adult physical dating violence, even after controlling for several demographic variables and childhood physical abuse, adds to the growing literature demonstrating deleterious outcomes associated with corporal punishment."
439102900019,MANAGEMENT SCIENCE,"Portfolio Selection with Capital Gains Tax, Recursive Utility, and Regime Switching","Capital gains taxation has important implications for investors' portfolio choice decisions. To explore these implications, we develop a continuous time investment and consumption model with capital gains tax, Epstein-Zin recursive utility, and regime switching. We find that various factors, such as tax rate, risk aversion, interest rate, stock return, and volatility, jointly affect optimal portfolio allocation, whereas intertemporal substitution does not. In a regime switching market, investors may trade or stop trading purely because of a change in regime, and there is a distinct cross-regime effect on optimal portfolio allocation. In particular, investors tend to raise stock investment in a bear regime so as to reduce potential tax payments upon regime switching. Given reasonable parameter values, regime switching has a greater impact on optimal portfolio allocation in a bear regime than in a bull regime."
438365700011,TERAPEVTICHESKII ARKHIV,Computed tomography diagnosis of primary hyperparathyroidism,"The article presents data on modern approaches to the diagnosis of various manifestations of hyperparathyroidism according to multispiral computed tomography, which do not require morphological verification and ensure the correctness of the diagnostic process. The radiological picture and differential diagnostics of changes from parathyroid glands and bone structures at hyperparathyroidism are described in detail."
452070900010,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,The ventricular residence time distribution derived from 4D flow particle tracing: a novel marker of myocardial dysfunction,"4D flow cardiac magnetic resonance (CMR) imaging allows visualisation of blood flow in the cardiac chambers and great vessels. Post processing of the flow data allows determination of the residence time distribution (RTD), a novel means of assessing ventricular function, potentially providing additional information beyond ejection fraction. We evaluated the RTD measurement of efficiency of left and right ventricular (LV and RV) blood flow. 16 volunteers and 16 patients with systolic dysfunction (LVEF<50%) underwent CMR studies including 4D flow. The RTDs were created computationally by seeding virtual particles' at the inlet plane in customised post-processing software, moving these particles with the measured blood velocity, recording and counting how many exited per unit of time. The efficiency of ventricular flow was determined from the RTDs based on the time constant (RTDc=-1/B) of the exponential decay. The RTDc was compared to ejection fraction, T1 mapping and global longitudinal strain (GLS). There was a significant difference between groups in LV RTDc (healthy volunteers 1.2 +/- 0.13 vs systolic dysfunction 2.2 +/- 0.80, p<0.001, C-statistic=1.0) and RV RTDc (1.5 +/- 0.15 vs 2.0 +/- 0.57, p=0.013, C-statistic=0.799). The LV RTDc correlated significantly with LVEF (R=-0.84, P<0.001) and the RV RTDc had significant correlation with RVEF (R=-0.402, p=0.008). The correlation between LV RTDc and LVEF was similar to GLS and LVEF (0.926, p<0.001). The ventricular residence time correlates with ejection fraction and can distinguish normal from abnormal systolic function. Further assessment of this method of assessment of chamber function is warranted."
445714700060,OPTIK,Design and performance analysis of landmark-based INS/Vision Navigation System for UAV,"This paper focuses mainly on the system design and performance analysis of the landmark-based INS/Vision Navigation System (INS/VNS). Firstly, the state and observation equations of the landmark-based INS/VNS are established. Secondly, the observability of the landmark-based INS/VNS with different number of landmarks is analyzed according to the rank of observability matrix. And Kalman Filter (KF) is designed for the landmark-based INS/VNS to estimate the errors of the navigation parameters for Unmanned Aerial Vehicle (UAV). Finally, the performance of the landmark-based INS/VNS is analyzed and compared with that of the landmark based IMU/Vision Navigation System (IMU/VNS) via simulations."
453914700005,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,An adaptive arm's mechanical impedance estimator for rehabilitation robots without force and acceleration sensors,"The mechanical impedance of the human arm can be measured to quantitatively assess the motor function. In this paper, an adaptive least square estimation method is proposed for online measurement of the mechanical impedance of the arm, without force or acceleration sensors, which extremely reduces the expenses and complexity of rehabilitation robots. The proposed strategy may also be used for monitoring the dynamic changes of the mechanical impedance. Estimation of timevarying force is also the other capability of the algorithm. The closed-loop stability of the system is analytically shown using the Lyapunov stability theorem. To show the applications of the proposed scheme, two main scenarios are described which can be used for the rehabilitation robots to assess the motor recovery of the patients undergoing the rehabilitation sessions. To validate the scheme, a 2-DOF manipulator is adopted to illustrate the accuracy of the impedance and force estimations in noiseless and noisy conditions."
444789300041,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,Mass transport limitation in inlet periphery of fuel cells: Studied on a planar Solid Oxide Fuel Cell,"It was recently clarified on a microtubular Solid Oxide Fuel Cell (SOFC) that the range of mass transport limitation might commence from the inlet periphery (inlet opening and inlet pipe), i.e., the concentration gradient of reactants may extend inward the inlet periphery. For demonstrating that this phenomenon occurs regardless of the form and type of the fuel cell operating at high reactant utilization rate, herein we investigate the mass transport in the anode side of a one-cell stack of a planar SOFC. The investigation leans upon experimental and numerical data analyzed from both conventional (non spatial) and spatial perspectives. The experimental data were spatially obtained in the lateral direction by applying the segmentation method. Regarding analyses let us to confirm that mass transport limitation occurs in the inlet periphery of the planar stack. Besides, the critical ratio of the consumed/supplied mass fluxes of hydrogen is valid for assessing whether the concentration gradient of hydrogen extends inward the inlet periphery. Furthermore, the virtual inlet opening is useful for accurately calculating the mass transport within the active field of the stack via hypothetically preventing the mass transport limitation in the inlet periphery. These findings are expected to help researchers and engineers for accurately designing and characterizing fuel cell systems at varying scales from cells to stacks. (C) 2018 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved."
