SDG,ID,keyword
SDG 7,05ec41000f2d7aa5e9c38f75158ba7c8,absorption heat pump
SDG 7,c1eb1c6679eca3ababf48e92c2232ac0,agrivoltaic
SDG 7,3f5d915e7dd1278dd65a5f877b26be09,air source heat pumps
SDG 7,74276dd6aeeb1ab7e345f94741bb61c2,airborne wind turbine
SDG 7,724fc1932cb6a3e00bc4169cd9c031e8,alcohol fuel
SDG 7,6da7a5c62ba96f5565e478c1fa4d1639,algae bioreactor
SDG 7,d57725d414b23f61c693724d4413fa1c,algae fuel
SDG 7,77118cfa9e4342b81af13f34377bf7af,alkaline anion exchange membrane fuel cell
SDG 7,919941209850eb8cfa7700f9504ffbd2,alkaline fuel cell
SDG 7,9e50cd7356fe0cbba522056c255c8a7d,alternative energy
SDG 7,e12f4eaf348fc3f477e06cd74e506e88,alternative fuel
SDG 7,044a5223daebd12364b3706dca41bddc,alternatives to car use
SDG 7,ca20bfdabd8e009dd6e63fe45d3c3054,aluminium recycling
SDG 7,064ca25972496df0026db4bd4cc78a0d,aluminium–air battery
SDG 7,1956453953db2884145b30c613a661a4,appliance recycling
SDG 7,d99417384bdbc7e2511d355d31693133,autonomous building
SDG 7,ba40506252f9f8bb3f0266582d825652,bi-fuel vehicle
SDG 7,784be889919f5780f1daf557db84a178,biobased economy
SDG 7,cc462ecea89628323fd5b0dfa40c723b,bioconversion
SDG 7,21ae144425388963c5002e21e395bf88,biodegradable electronics
SDG 7,724bec067bcfc02ed1a2e076a5c85ca7,bioenergy
SDG 7,923c01615f2c30f1ff06cc8359557363,biofuel
SDG 7,9042a1a81a3720a19d40fad089ae6aa4,biogas
SDG 7,8398e98dc259f7ad4004ab7960368204,biogasoline
SDG 7,b08d6fafd21104ff4e6b4bbe5f1ebcfc,biological hydrogen production (algae)
SDG 7,3e31681cb2fd4a0ea59589f26e6fc7c7,biomass briquettes
SDG 7,8d720ba68ccda6bb7b3417c549a1ff07,blue carbon
SDG 7,b9664894f418c0d7ef1f5f9a7dfa59c4,bottle recycling
SDG 7,fafce5265188b957531952d0391a817f,building insulation
SDG 7,fbc1fa26f192fdf828a298f841937c10,building performance
SDG 7,624324016c9c60d4d8764dc9aef69258,cap and dividend
SDG 7,7a782bec9b73f33ba04c546784a7a44e,carbon capture and utilisation
SDG 7,c90ab824debbad373cf4d9461e7d44a8,carbon dioxide removal
SDG 7,1b2f08939bee46368ed34603388e46a7,carbon dioxide scrubber
SDG 7,fee32f85b556640f3d7a509690cc2b66,carbon emission
SDG 7,1a598ebf3a3be9a2428b9762b72ddfc2,carbon farming
SDG 7,b6e46b286b0265cb6e799c2e09e4075b,carbon footprint
SDG 7,9b65bc199a0a5b0d3e198704e1a91937,carbon intensity
SDG 7,1add2a9ff595b8d508625e0a129ebd91,carbon offset
SDG 7,cf1d6ac3086f159c7fe7225ec88d7fda,carbon pollution reduction scheme
SDG 7,26fc9b7bf55c4ee8e3c4fa916d1df492,carbon sequestration
SDG 7,6d1491b7b26c1e2f4cfe60b8d6e4dde0,carbon tax
SDG 7,f38766de10122b3f6885a2ed36b3be23,carbon-based fuel
SDG 7,c466626dd76297fabd8295de0eb7f92a,carbon-neutral fuel
SDG 7,f4a8b9a30182d6bca5685a8965a552d4,carbonzero programme
SDG 7,1e8fd51ef1ec7a753c38b12bd1193417,carpool
SDG 7,893fa53049c00c6d6d994c01fc106309,carsharing
SDG 7,9d20eccb88d19563905dcfe6deb45643,certification for sustainable transportation
SDG 7,07539bdffa925353dba58490367f49bb,charcoal
SDG 7,c8c36491096358950b18d2fd3ef7f0a8,charging station
SDG 7,a959b43e9ca40c322a0e8450bf192740,chicago climate action plan
SDG 7,4cb886f794261c36650186d41371fc3d,chinese national carbon trading scheme
SDG 7,9f4a1874cd2a40b1563c16f557d352ff,clean energy
SDG 7,a4e7ec32bc56cd555e0174dd8691653e,clean fuel
SDG 7,fae83e42bfd0e7dbab8fd84c3418bf21,clean technology
SDG 7,8fce2e6852cc00169d3237ebf1845ce3,cleaner production
SDG 7,0f60a4022e9e6e180bc51851ff4b17a4,climate capitalism
SDG 7,27f0ea427ffa33115e80a44d90c5677e,co2 emission
SDG 7,9428cc7ffebfa09b123a179101025e95,co2balance
SDG 7,d640670c911fd75d04ff3f5fc3999f6f,coal consumption
SDG 7,d3fedc796a41ca54a0a2307991c8717f,coalbed methane
SDG 7,592a7bf33f692f54ef318d9d2247cf9f,combined gas and steam
SDG 7,b6b81433eabe0f9e561a058e44af478d,combined nuclear and steam propulsion
SDG 7,f90d188242b6e1248df0cd119bb2edc5,combined steam and gas
SDG 7,cc5097453e85000f04eb675cae40885f,common external power supply
SDG 7,f5f90049189df8501779d0c9e1eeba92,compressed air car
SDG 7,00b16ffbcde4e4199c09ae8a163d8062,compressed-air vehicle
SDG 7,4f16d85f2271bc1d5d9b4d83ab37f094,double glazing
SDG 7,c5832c5b6cc0bd6e6fd9faad9ec5eb3f,ecohouse
SDG 7,73c22fc97f89a59d79ca079ed3da75d7,electric energy
SDG 7,2450543112d417238df72cf2f784b26d,electric motor
SDG 7,79b2026954f788a99f7ef7f390e053f7,electric power
SDG 7,68a3fd32a2ed893871ab3ddc5aca131f,electric power distribution
SDG 7,d036c9a12ba65ec7069e0aed0a01c013,electrical energy
SDG 7,2bc8f79aa8fc54143768e5a4ed2f7e9d,electrical grid
SDG 7,bc96d6ea51cb8d28c700ebcbc077fed6,electrical power
SDG 7,a667130116d0e4df28df8c98cec20754,electricity
SDG 7,ca67157faa2040d00ff0bc96ffa1a74d,electricity consumption
SDG 7,36cf377899189be129183ab2e496643f,electricity cost
SDG 7,45acac18da14b81a87b8be961ba7bcfc,electricity generation
SDG 7,2ea5b56a672dc302277d00bc38a6929f,electricity market
SDG 7,9d9c211c5bf9a3b607d86a51c0e7329a,electrofuel
SDG 7,46217a98a281f514b1cd05f0abe6988d,emissions trading
SDG 7,3c7b15c5899a24019760070e983fb1dd,energy
SDG 7,82a236c9df0026fbb6441fbb8d6de7aa,energy audit
SDG 7,07aeed66830aa28b5b130c634c15d5d2,energy conservation
SDG 7,033a34b135487a9f15403df8af5ad30c,energy consumption
SDG 7,31f8e6374b0286cf1391024b0e6fbb58,energy conversion efficiency
SDG 7,222c494141a42c27ff0e28caeae97b22,energy cost
SDG 7,60135dc534bf35b52304e676cdbab49b,energy crop
SDG 7,dc934b270b0e620c5361ba667c45ed45,energy demand
SDG 7,13047819be73f80dff5656a82badc86f,energy efficiency
SDG 7,90395bef105d5923d4ec172613e23e9d,energy harvesting
SDG 7,a0fd518b87dbece5ba9edf8b31d68cc5,energy intensity
SDG 7,8325b280f736a06c680e9c721c7f8139,energy management
SDG 7,9c168d2937e01c84fecb6a1df6c1f5e5,energy performance
SDG 7,55a6c3bd181cf745afb4a3606873b621,energy poverty
SDG 7,d2bdb984e33e89b690c652a7329b00db,energy productivity
SDG 7,480dab08fb4285df5d0dfd3595c33ef3,energy research
SDG 7,08da3c3dd96ac032e5eb3956fb7ed571,energy transition
SDG 7,0df321493ed91fac023b1b959af20930,energy usage
SDG 7,7237a7e28ad2028fc6d7d1b91cb7c3a5,energy use
SDG 7,69ed756cdb76e3f5f03a9cfef7ae9bf6,fluorescent lamp recycling
SDG 7,2c8ad4eb1c937e10fdf9189edf3fd551,formic acid fuel cell
SDG 7,4b9faef4e41aa6e92806ce8da70e5f6a,fossil fuel phase-out
SDG 7,580687a7090ec8e0fd7641aac03959f3,fuel consumption
SDG 7,8e683c6df81d0377ebe4b9eaf05548c4,fuel efficiency
SDG 7,c4f75e64be0bcedab08fb2d8f9b115fe,fuel poverty
SDG 7,be39b5264f6879a8441490b233a517fb,fusion power
SDG 7,101627ebc90f5bdede0109f3addf276b,geothermal desalination
SDG 7,c237fdb8c372b08ad26b58e41fb2ba8d,geothermal energy
SDG 7,b2370b8df92372ed0174d566c511f324,geothermal heat pump
SDG 7,3cc6fb0e08f123ff8dcf1ad70f8d831a,geothermal heating
SDG 7,f70e8202372bc3a0904941cb8d4315ed,geothermal power
SDG 7,683128971ba0e9039ec7c518b2ab896f,german climate action plan 2050
SDG 7,eae97c0d127f06177e681a01f1f311c0,green energy
SDG 7,7074f6fc03c29384abcdec7df7be0f6e,green technologies
SDG 7,7f9045cb16b62476c51dff225052f026,greenhouse debt
SDG 7,78b5ce9ad8f3bf3dbaeaece07ba50e8d,greenhouse gas
SDG 7,b0202c3d2e244dead7b0da6cf15be90e,ground heat exchanger
SDG 7,411bdd67a1447c99e31653fd70b90ea6,hybrid power
SDG 7,0f28608400ac66f5aa5348bd59015700,hydrogen fuel
SDG 7,0eac49bb19e9b5c6270e7385686f16f7,hydrogen station
SDG 7,c8d733908f17e9dd7f38c01603f27286,hydrogen technologies
SDG 7,848c6746be735439919dc028b8172bdf,hydrogen vehicle
SDG 7,7eaf95cad2f77e4c18aaf83fed59c5a3,infrastructure upgrade
SDG 7,b06b4a836e988f8c8811e1e1b16b03e5,less energy
SDG 7,68ca1061b23b3e60eeedc27b7ed687b3,liquid nitrogen engine
SDG 7,d8f7621cfcce8d550a2b0a4fff623da2,lithium economy
SDG 7,b45537e46f485128ab0f86907f714b90,lithium–air battery
SDG 7,a1305e4acba3676bf444ec102a72d2c2,low carbon communities
SDG 7,f37bde6229076e3cf5dfd0e75d00b506,low-carbon economy
SDG 7,ce41a80981fd8fab084618478412f2ca,magnesium battery
SDG 7,2860a7395240e8e7c555bf0f786887c1,meat tax
SDG 7,97f5046c55e12b2bb2300a567aa2a6e6,metal–air electrochemical cell
SDG 7,f0e112aa87a0823136b15638c716d21e,microbiofuel
SDG 7,b417fdde7e077fef8d3db5516ee936f8,natural gas storage
SDG 7,1e2cbc5d3ef169cdf43b2f4e2ba60ae8,nuclear power
SDG 7,ce2b817226ad7fb9b9f4316f38728cb9,nuclear safety and security
