keyword,spaces,include?
access,0,No
adopt,0,No
affordab,0,No
affordable,0,No
agrivoltaic,0,Yes
alternative,0,No
area,0,No
areas,0,No
availab,0,No
barrier,0,No
barriers,0,No
batteries,0,No
battery,0,No
better,0,No
bioconversion,0,Yes
biodiesel,0,Yes
bioenergy,0,Yes
biofuel,0,Yes
biofuels,0,Yes
biogas,0,Yes
biogasoline,0,Yes
biomass,0,Yes
building,0,No
buildings,0,No
carbon,0,No
cardiovascular,0,No
carpool,0,Yes
carsharing,0,Yes
certificat,0,No
charcoal,0,No
cities,0,No
clean,0,No
cleaner,0,No
co2,0,No
co2balance,0,No
coal,0,Yes
commerciali?ation,0,No
communities,0,No
community,0,No
congo,0,No
conversion,0,No
cooking,0,No
countr,0,No
decarbonise,0,Yes
decarbonize,0,Yes
develop,0,No
double,0,No
ecohouse,0,Yes
economic,0,No
economies,0,No
economy,0,No
electric,0,No
electrical,0,No
electricity,0,No
electrification,0,Yes
electrofuel,0,Yes
emission,0,Yes
emissions,0,Yes
energy,0,No
enhanc,0,No
equitab,0,No
footprint,0,No
footprints,0,No
fuel,0,No
fuels,0,No
gdp,0,No
generat,0,No
geothermal,0,Yes
green,0,No
grid,0,No
grids,0,No
higher,0,No
houses,0,No
housing,0,No
hybrid,0,No
hydroelectric,0,Yes
hydrogen,0,No
hydrokinetic,0,Yes
hydropower,0,Yes
hydrothermal,0,Yes
implement,0,No
improv,0,No
incentive,0,No
incentives,0,No
increas,0,No
industrial,0,No
industry,0,No
infrastructure,0,No
initiative,0,No
initiatives,0,No
invest,0,No
investing,0,No
investment,0,No
investments,0,No
legislation,0,No
manufacturing,0,No
market,0,No
markets,0,No
metabolic,0,No
metabolism,0,No
microbiofuel,0,Yes
microgrid,0,Yes
microgrids,0,Yes
mitochondria,0,No
modern,0,No
moderni,0,No
muscle,0,No
muscles,0,No
myanmar,0,No
nation,0,No
nations,0,No
obstacle,0,No
obstacles,0,No
percentage,0,No
percentages,0,No
photobioreactor,0,Yes
photochemistry,0,Yes
photovoltaic,0,Yes
policies,0,No
policy,0,No
power,0,No
powered,0,No
produc,0,No
production,0,No
promot,0,No
proportion,0,No
proportions,0,No
region,0,No
regions,0,No
reliab,0,No
reliable,0,No
relian,0,No
remote,0,No
renewable,0,No
renewables,0,No
research,0,No
residential,0,No
resilien,0,No
rural,0,No
bi fuel vehicle,3,Yes
air source heat pumps,4,Yes
bio gas,4,Yes
cap and dividend,4,Yes
co2 emission,4,Yes
low carbon,4,Yes
low carbon communities,4,Yes
low carbon economy,4,Yes
low carbon power generation,4,Yes
low carbon society,4,Yes
low carbon technologies,4,Yes
low-carbon,4,Yes
off grid solution,4,Yes
