Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100812579;"Nature Energy";journal;"20587546";19,635;Q1;92;222;555;6010;15990;375;34,31;27,07;United States;Northern America;"Springer Nature";"2016-2020";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
2;17500155114;"Energy and Environmental Sciences";journal;"17545692, 17545706";13,024;Q1;311;282;889;22163;28341;860;31,04;78,59;United Kingdom;Western Europe;"Royal Society of Chemistry";"2008-2020";"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
3;21100199127;"Advanced Energy Materials";journal;"16146832, 16146840";9,513;Q1;186;632;1838;41142;43860;1772;24,70;65,10;Germany;Western Europe;"Wiley-VCH Verlag";"2011-2020";"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
4;21100832985;"ACS Energy Letters";journal;"23808195";8,057;Q1;75;408;1022;18671;17153;947;18,43;45,76;United States;Northern America;"American Chemical Society";"2016-2020";"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
5;21100197947;"Nano Energy";journal;"22112855";5,633;Q1;139;1036;2122;55840;35851;2119;17,09;53,90;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
6;21100420314;"Energy Storage Materials";journal;"24058297";5,044;Q1;54;420;386;29717;6162;372;16,42;70,75;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
7;27567;"Renewable and Sustainable Energy Reviews";journal;"13640321";3,632;Q1;258;687;3922;75731;56856;3839;14,57;110,23;Netherlands;Western Europe;"Elsevier Ltd.";"1997-2020";"Renewable Energy, Sustainability and the Environment (Q1)"
8;19700177027;"IEEE Transactions on Sustainable Energy";journal;"19493029";3,593;Q1;101;222;523;6822;5451;513;9,52;30,73;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2020";"Renewable Energy, Sustainability and the Environment (Q1)"
9;21100873499;"Nature Sustainability";journal;"23989629";3,488;Q1;20;230;169;8030;1166;108;10,80;34,91;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2020";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)"
10;21100232403;"Journal of Materials Chemistry A";journal;"20507496, 20507488";3,432;Q1;185;2776;7219;166396;82213;7114;11,54;59,94;United Kingdom;Western Europe;"Royal Society of Chemistry";"2013-2020";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
11;19700188418;"Annual Review of Chemical and Biomolecular Engineering";journal;"19475438, 19475446";3,106;Q1;51;18;72;2010;756;69;9,98;111,67;United States;Northern America;"Annual Reviews Inc.";"2010-2019";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
12;29372;"Energy Conversion and Management";journal;"01968904";2,924;Q1;177;1261;3264;64628;29622;3207;9,33;51,25;United Kingdom;Western Europe;"Elsevier Ltd.";"1979-2020";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
13;19700201681;"Environmental Innovation and Societal Transitions";journal;"22104224";2,782;Q1;42;83;128;6696;1084;120;9,25;80,67;Netherlands;Western Europe;"Elsevier BV";"2011-2020";"Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)"
14;5200152632;"Environmental Research Letters";journal;"17489326";2,675;Q1;109;474;1413;28193;8824;1363;6,09;59,48;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2006-2020";"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
15;15423;"Bioresource Technology";journal;"09608524, 18732976";2,430;Q1;273;1627;4926;73445;41028;4895;8,33;45,14;Netherlands;Western Europe;"Elsevier Ltd.";"1990-2020";"Bioengineering (Q1); Environmental Engineering (Q1); Medicine (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)"
16;21100325067;"Energy Research and Social Science";journal;"22146296";2,205;Q1;49;267;746;20891;4223;740;5,41;78,24;United Kingdom;Western Europe;"Elsevier Ltd.";"2014-2020";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)"
17;29348;"Energy";journal;"18736785, 03605442";2,166;Q1;173;2390;5727;111238;39993;5673;6,95;46,54;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
18;18063;"Journal of Power Sources";journal;"03787753";2,111;Q1;286;1268;4188;62207;34908;4147;8,61;49,06;Netherlands;Western Europe;"Elsevier";"1976-2020";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Physical and Theoretical Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
19;27569;"Renewable Energy";journal;"09601481";2,052;Q1;174;1523;3279;70230;24010;3244;7,36;46,11;United Kingdom;Western Europe;"Elsevier BV";"1991-2020";"Renewable Energy, Sustainability and the Environment (Q1)"
